id,name,type,desc,atk,def,level,race,attribute,scale,archetype,linkval,linkmarkers,image_url,image_url_small,ban_ocg,staple,views,upvotes,downvotes,ocg_date,has_effect
11714098,"30,000-Year White Turtle",Normal Monster,"A huge turtle that has existed for more than 30,000 years.",1250.0,2100.0,5.0,Aqua,WATER,,,,,https://images.ygoprodeck.com/images/cards/11714098.jpg,https://images.ygoprodeck.com/images/cards_small/11714098.jpg,,,147392,33,16,1999-10-17,0
83994646,4-Starred Ladybug of Doom,Flip Effect Monster,FLIP: Destroy all Level 4 monsters your opponent controls.,800.0,1200.0,3.0,Insect,WIND,,,,,https://images.ygoprodeck.com/images/cards/83994646.jpg,https://images.ygoprodeck.com/images/cards_small/83994646.jpg,,,370261,19,9,2000-12-14,1
67048711,7,Spell Card,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",,,,Continuous,,,,,,https://images.ygoprodeck.com/images/cards/67048711.jpg,https://images.ygoprodeck.com/images/cards_small/67048711.jpg,,,24048,12,3,2004-02-26,1
23771716,7 Colored Fish,Normal Monster,A rare rainbow fish that has never been caught by mortal man.,1800.0,800.0,4.0,Fish,WATER,,,,,https://images.ygoprodeck.com/images/cards/23771716.jpg,https://images.ygoprodeck.com/images/cards_small/23771716.jpg,,,356795,26,6,2000-01-27,0
86198326,7 Completed,Spell Card,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",,,,Equip,,,,,,https://images.ygoprodeck.com/images/cards/86198326.jpg,https://images.ygoprodeck.com/images/cards_small/86198326.jpg,,,231470,10,4,2000-09-28,1
14261867,8-Claws Scorpion,Effect Monster,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",300.0,200.0,2.0,Insect,DARK,,,,,https://images.ygoprodeck.com/images/cards/14261867.jpg,https://images.ygoprodeck.com/images/cards_small/14261867.jpg,,,146289,12,10,2002-03-21,1
24140059,A Cat of Ill Omen,Flip Effect Monster,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",500.0,300.0,2.0,Beast,DARK,,,,,https://images.ygoprodeck.com/images/cards/24140059.jpg,https://images.ygoprodeck.com/images/cards_small/24140059.jpg,,,236015,16,2,2002-05-16,1
6850209,A Deal with Dark Ruler,Spell Card,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",,,,Quick-Play,,,Archfiend,,,https://images.ygoprodeck.com/images/cards/6850209.jpg,https://images.ygoprodeck.com/images/cards_small/6850209.jpg,,,149928,8,8,2002-11-21,1
49140998,A Feather of the Phoenix,Spell Card,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/49140998.jpg,https://images.ygoprodeck.com/images/cards_small/49140998.jpg,,,160783,15,7,2004-11-25,1
68170903,A Feint Plan,Trap Card,A player cannot attack face-down monsters during this turn.,,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/68170903.jpg,https://images.ygoprodeck.com/images/cards_small/68170903.jpg,,,118130,30,8,2001-09-20,1
21597117,A Hero Emerges,Trap Card,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/21597117.jpg,https://images.ygoprodeck.com/images/cards_small/21597117.jpg,,,183798,11,9,2003-07-17,1
8949584,A Hero Lives,Spell Card,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",,,,Normal,,,Elemental HERO,,,https://images.ygoprodeck.com/images/cards/8949584.jpg,https://images.ygoprodeck.com/images/cards_small/8949584.jpg,,,616752,13,12,2011-03-12,1
295517,A Legendary Ocean,Spell Card,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",,,,Field,,,Umi,,,https://images.ygoprodeck.com/images/cards/295517.jpg,https://images.ygoprodeck.com/images/cards_small/295517.jpg,,,350400,27,8,2001-11-29,1
32207100,A Major Upset,Trap Card,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/32207100.jpg,https://images.ygoprodeck.com/images/cards_small/32207100.jpg,,,46946,5,1,2009-04-18,1
51351302,A Man with Wdjat,Effect Monster,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",1600.0,1600.0,4.0,Spellcaster,DARK,,,,,https://images.ygoprodeck.com/images/cards/51351302.jpg,https://images.ygoprodeck.com/images/cards_small/51351302.jpg,,,104561,5,5,2002-05-16,1
5728014,A Rival Appears!,Trap Card,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/5728014.jpg,https://images.ygoprodeck.com/images/cards_small/5728014.jpg,,,71589,10,4,2005-05-26,1
44553392,"A Shattered, Colorless Realm",Trap Card,"If ""Vicious Astraloud"" is on the field: Target 1 card on the field; destroy it, then, if the destroyed card's original name was ""Vicious Astraloud"", you can Special Summon 1 of your banished ""Visas Starfrost"", or if it was not, you can make 1 ""Vicious Astraloud"" you control gain 1500 ATK.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/44553392.jpg,https://images.ygoprodeck.com/images/cards_small/44553392.jpg,,,6180,0,0,2023-01-14,1
23587624,A Wild Monster Appears!,Spell Card,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/23587624.jpg,https://images.ygoprodeck.com/images/cards_small/23587624.jpg,,,52017,14,3,2014-11-15,1
28596933,A Wingbeat of Giant Dragon,Spell Card,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/28596933.jpg,https://images.ygoprodeck.com/images/cards_small/28596933.jpg,,,238580,10,4,2001-09-20,1
30012506,A-Assault Core,Union Effect Monster,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",1900.0,200.0,4.0,Machine,LIGHT,,ABC,,,https://images.ygoprodeck.com/images/cards/30012506.jpg,https://images.ygoprodeck.com/images/cards_small/30012506.jpg,,,274505,12,6,2016-06-18,1
13026402,A-Team: Trap Disposal Unit,Effect Monster,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",300.0,400.0,2.0,Machine,FIRE,,,,,https://images.ygoprodeck.com/images/cards/13026402.jpg,https://images.ygoprodeck.com/images/cards_small/13026402.jpg,,,49964,5,1,2004-08-05,1
75926389,A-to-Z Energy Load,Trap Card,"When your opponent activates a card or effect: Draw cards equal to the number of Level 8 or higher LIGHT Machine Fusion Monsters you control. During your Standby Phase: You can banish this card from your GY; shuffle up to 6 of your banished LIGHT Machine monsters into the Deck, including a Union monster. You can only use each effect of ""A-to-Z Energy Load"" once per turn.",,,,Normal,,,A-to-Z,,,https://images.ygoprodeck.com/images/cards/75926389.jpg,https://images.ygoprodeck.com/images/cards_small/75926389.jpg,,,2918,0,0,2024-05-25,1
65172015,A-to-Z-Dragon Buster Cannon,Fusion Monster,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""
Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",4000.0,4000.0,10.0,Machine,LIGHT,,ABC,,,https://images.ygoprodeck.com/images/cards/65172015.jpg,https://images.ygoprodeck.com/images/cards_small/65172015.jpg,,,175196,57,36,2016-06-18,1
28645123,A.I. Challenge You,Trap Card,"Monsters your opponent controls lose 100 ATK for each card you control. If your ""@Ignister"" monster battles, your opponent cannot activate cards or effects until the end of the Damage Step. When your ""@Ignister"" monster is destroyed by battle: You can target 1 other Cyberse monster with 2300 ATK in your GY; Special Summon it. You can only use this effect of ""A.I. Challenge You"" once per turn.",,,,Continuous,,,A.I.,,,https://images.ygoprodeck.com/images/cards/28645123.jpg,https://images.ygoprodeck.com/images/cards_small/28645123.jpg,,,17948,1,0,2021-01-16,1
10493654,A.I. Contact,Spell Card,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I.Land"" in your hand; place it on the bottom of the Deck, and if you do, draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",,,,Normal,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/10493654.jpg,https://images.ygoprodeck.com/images/cards_small/10493654.jpg,,,54535,3,2,2020-01-11,1
59332125,A.I. Love Fusion,Spell Card,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",,,,Normal,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/59332125.jpg,https://images.ygoprodeck.com/images/cards_small/59332125.jpg,,,75770,5,3,2019-10-12,1
6552971,A.I. Meet You,Spell Card,"Reveal 1 Cyberse monster with 2300 ATK in your hand or Extra Deck, and add 1 ""@Ignister"" monster with the same Attribute from your Deck to your hand. During the End Phase of this turn, take 2300 damage if you did not Special Summon the revealed monster, or a monster with the same name, after you resolved this effect. You cannot activate monster effects for the rest of this turn after this card resolves, except Cyberse monsters. You can only activate 1 ""A.I. Meet You"" per turn.",,,,Normal,,,A.I.,,,https://images.ygoprodeck.com/images/cards/6552971.jpg,https://images.ygoprodeck.com/images/cards_small/6552971.jpg,,,103825,1,2,2021-01-16,1
77421977,A.I. Shadow,Trap Card,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",,,,Continuous,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/77421977.jpg,https://images.ygoprodeck.com/images/cards_small/77421977.jpg,,,36823,3,0,2019-10-12,1
85327820,A.I.'s Ritual,Spell Card,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",,,,Ritual,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/85327820.jpg,https://images.ygoprodeck.com/images/cards_small/85327820.jpg,,,58176,6,3,2019-10-12,1
54374642,A.I.'s Show,Trap Card,"While you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone, when an opponent's monster declares an attack: Special Summon from your Extra Deck any number of non-Link Cyberse monster(s) with 2300 ATK, whose combined ATK is less than or equal to the attacking monster's ATK, then end the Battle Phase.",,,,Normal,,,A.I.,,,https://images.ygoprodeck.com/images/cards/54374642.jpg,https://images.ygoprodeck.com/images/cards_small/54374642.jpg,,,9181,0,0,2021-06-12,1
69381150,A.I.Q,Trap Card,"Activate only if you control an ""@Ignister"" monster. Once per turn, during your Standby Phase, Tribute 1 Link Monster, or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",,,,Continuous,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/69381150.jpg,https://images.ygoprodeck.com/images/cards_small/69381150.jpg,,,23213,2,2,2020-01-11,1
22933016,A.I.dle Reborn,Spell Card,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",,,,Quick-Play,,,@Ignister,,,https://images.ygoprodeck.com/images/cards/22933016.jpg,https://images.ygoprodeck.com/images/cards_small/22933016.jpg,,,150269,3,1,2019-10-12,1
96146814,A/D Changer,Effect Monster,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",100.0,100.0,1.0,Warrior,LIGHT,,,,,https://images.ygoprodeck.com/images/cards/96146814.jpg,https://images.ygoprodeck.com/images/cards_small/96146814.jpg,,,79823,3,1,2010-04-17,1
1561110,ABC-Dragon Buster,Fusion Monster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",3000.0,2800.0,8.0,Machine,LIGHT,,ABC,,,https://images.ygoprodeck.com/images/cards/1561110.jpg,https://images.ygoprodeck.com/images/cards_small/1561110.jpg,,,348329,50,28,2016-06-18,1
26372118,ALERT!,Spell Card,"(This card is always treated as a ""Rescue-ACE"" card.)
Add 1 ""Rescue-ACE"" monster from your GY to your hand, or if you control ""Rescue-ACE Hydrant"", you can add 1 ""Rescue-ACE"" monster from your Deck to your hand instead. You can only activate 1 ""ALERT!"" per turn.",,,,Quick-Play,,,Rescue-ACE,,,https://images.ygoprodeck.com/images/cards/26372118.jpg,https://images.ygoprodeck.com/images/cards_small/26372118.jpg,,,59218,0,0,2022-08-20,1
12694768,Abaki,Effect Monster,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",1700.0,1100.0,4.0,Fiend,FIRE,,,,,https://images.ygoprodeck.com/images/cards/12694768.jpg,https://images.ygoprodeck.com/images/cards_small/12694768.jpg,,,41801,8,1,2006-08-10,1
89718302,Abare Ushioni,Effect Monster,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",1200.0,1200.0,4.0,Beast-Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/89718302.jpg,https://images.ygoprodeck.com/images/cards_small/89718302.jpg,,,58292,6,3,2005-12-08,1
80801743,Abominable Chamber of the Unchained,Trap Card,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",,,,Normal,,,Unchained,,,https://images.ygoprodeck.com/images/cards/80801743.jpg,https://images.ygoprodeck.com/images/cards_small/80801743.jpg,,,264078,4,0,2019-07-13,1
1966438,Abominable Unchained Soul,Effect Monster,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",3000.0,1500.0,8.0,Fiend,DARK,,,,,https://images.ygoprodeck.com/images/cards/1966438.jpg,https://images.ygoprodeck.com/images/cards_small/1966438.jpg,,,312068,13,5,2019-10-12,1
27412542,Abomination's Prison,Spell Card,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",,,,Normal,,,Unchained,,,https://images.ygoprodeck.com/images/cards/27412542.jpg,https://images.ygoprodeck.com/images/cards_small/27412542.jpg,,,305452,4,0,2019-07-13,1
70832512,Absolute Crusader,Effect Monster,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,1800.0,1200.0,4.0,Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/70832512.jpg,https://images.ygoprodeck.com/images/cards_small/70832512.jpg,,,43099,6,4,2011-04-16,1
27744077,Absolute End,Trap Card,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",,,,Normal,,,,,,https://images.ygoprodeck.com/images/cards/27744077.jpg,https://images.ygoprodeck.com/images/cards_small/27744077.jpg,,,57089,2,3,2004-05-27,1
27553701,Absolute King - Megaplunder,Normal Monster,''The king of dinosaurs that rules over the Earth. Its mighty roar makes its foes tremble in fear!'',2000.0,1500.0,6.0,Dinosaur,EARTH,,,,,https://images.ygoprodeck.com/images/cards/27553701.jpg,https://images.ygoprodeck.com/images/cards_small/27553701.jpg,,,4477,0,0,2023-04-03,1
60990740,Absolute King Back Jack,Effect Monster,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",0.0,0.0,1.0,Fiend,DARK,,,,,https://images.ygoprodeck.com/images/cards/60990740.jpg,https://images.ygoprodeck.com/images/cards_small/60990740.jpg,,,317007,11,2,2015-03-21,1
51779204,Absolute Powerforce,Spell Card,"Target 1 ""Red Dragon Archfiend"" you control; if it battles an opponent's monster this turn while you control it, apply these effects until the end of the Damage Step.
● It gains 1000 ATK.
● Your opponent cannot activate cards or effects.
● If it attacks a Defense Position monster, inflict piercing battle damage to your opponent.
● Any battle damage your opponent takes from that battle is doubled.",,,,Quick-Play,,,Signature move,,,https://images.ygoprodeck.com/images/cards/51779204.jpg,https://images.ygoprodeck.com/images/cards_small/51779204.jpg,,,12293,0,0,2023-06-24,1
71422989,Absorb Fusion,Spell Card,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.
● Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.
You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters.",,,,Normal,,,Gem-,,,https://images.ygoprodeck.com/images/cards/71422989.jpg,https://images.ygoprodeck.com/images/cards_small/71422989.jpg,,,63696,10,3,2014-08-09,1
3900605,Absorbing Jar,Flip Effect Monster,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",600.0,500.0,3.0,Rock,EARTH,,,,,https://images.ygoprodeck.com/images/cards/3900605.jpg,https://images.ygoprodeck.com/images/cards_small/3900605.jpg,,,44412,6,3,2012-02-18,1
49771608,Absorbing Kid from the Sky,Effect Monster,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",1300.0,1000.0,4.0,Fairy,LIGHT,,,,,https://images.ygoprodeck.com/images/cards/49771608.jpg,https://images.ygoprodeck.com/images/cards_small/49771608.jpg,,,55547,2,4,2004-02-26,1
67748760,Absorouter Dragon,Effect Monster,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",1200.0,2800.0,7.0,Dragon,DARK,,Rokket,,,https://images.ygoprodeck.com/images/cards/67748760.jpg,https://images.ygoprodeck.com/images/cards_small/67748760.jpg,,,643955,21,4,2019-06-22,1
15308295,Abyss Actor - Comic Relief,Pendulum Effect Monster,"[ Pendulum Effect ] 
You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.
[ Monster Effect ] 
You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",1000.0,2000.0,3.0,Fiend,DARK,8.0,Abyss Actor,,,https://images.ygoprodeck.com/images/cards/15308295.jpg,https://images.ygoprodeck.com/images/cards_small/15308295.jpg,,,67431,5,2,2018-06-09,1
44179224,Abyss Actor - Curtain Raiser,Pendulum Effect Monster,"[ Pendulum Effect ] 
If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.
[ Monster Effect ] 
Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",1100.0,1000.0,4.0,Fiend,DARK,7.0,Abyss Actor,,,https://images.ygoprodeck.com/images/cards/44179224.jpg,https://images.ygoprodeck.com/images/cards_small/44179224.jpg,,,318714,5,0,2017-05-13,1
52240819,Abyss Actor - Evil Heel,Pendulum Effect Monster,"[ Pendulum Effect ] 
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
[ Monster Effect ] 
If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",3000.0,2000.0,8.0,Fiend,DARK,1.0,Abyss Actor,,,https://images.ygoprodeck.com/images/cards/52240819.jpg,https://images.ygoprodeck.com/images/cards_small/52240819.jpg,,,54965,7,6,2016-08-06,1
